name,oisT1,oisR1,oisP1,oisF1
RGB_008,0.6700,0.9180,0.9217,0.9198
RGB_010,0.6700,0.9242,0.8846,0.9040
RGB_017,0.6800,0.8293,0.8176,0.8234
RGB_025,0.7000,0.9364,0.9052,0.9205
RGB_029,0.7200,0.8935,0.8644,0.8787
RGB_033,0.7000,0.8795,0.8869,0.8831
RGB_035,0.6700,0.9291,0.8566,0.8914
RGB_039,0.6700,0.9139,0.8782,0.8957
RGB_042,0.7100,0.8739,0.8951,0.8844
RGB_052,0.7000,0.9167,0.9152,0.9159
RGB_056,0.6700,0.9203,0.8884,0.9040
RGB_057,0.6500,0.8760,0.9056,0.8905
RGB_059,0.6561,0.9411,0.8907,0.9152
RGB_066,0.7037,0.8876,0.8837,0.8856
RGB_067,0.6200,0.9452,0.9127,0.9287
RGB_070,0.7200,0.9044,0.8926,0.8985
RGB_071,0.7300,0.9323,0.8982,0.9150
RGB_075,0.6474,0.9116,0.8919,0.9016
RGB_081,0.6900,0.9439,0.9470,0.9454
RGB_083,0.6639,0.9418,0.9215,0.9315
RGB_090,0.7300,0.9739,0.8539,0.9100
RGB_092,0.6800,0.9215,0.9272,0.9244
RGB_094,0.6200,0.9246,0.9371,0.9308
RGB_098,0.6900,0.9370,0.8434,0.8877
RGB_102,0.7000,0.9120,0.9206,0.9163
RGB_107,0.6800,0.9055,0.8885,0.8969
RGB_111,0.6600,0.8656,0.9157,0.8899
RGB_120,0.7500,0.8926,0.9081,0.9003
RGB_124,0.6800,0.9358,0.9157,0.9257
RGB_132,0.7100,0.9136,0.8903,0.9018
RGB_138,0.7400,0.9048,0.8635,0.8837
RGB_139,0.5900,0.6831,0.9216,0.7847
RGB_141,0.7100,0.8385,0.8736,0.8557
RGB_145,0.6500,0.9029,0.9144,0.9086
RGB_160,0.6800,0.9132,0.9104,0.9118
RGB_170,0.6300,0.9057,0.8931,0.8993
RGB_181,0.6900,0.8878,0.8929,0.8904
RGB_182,0.5900,0.8456,0.9145,0.8787
RGB_190,0.7100,0.9085,0.9067,0.9076
RGB_192,0.6700,0.9497,0.8858,0.9167
RGB_206,0.7100,0.8899,0.9495,0.9187
RGB_212,0.4100,0.8491,0.8745,0.8616
RGB_214,0.6000,0.8057,0.8622,0.8330
RGB_226,0.7000,0.9001,0.9085,0.9043
RGB_228,0.7800,0.8446,0.9152,0.8785
RGB_234,0.7600,0.8911,0.8893,0.8902
RGB_237,0.5900,0.9403,0.9402,0.9402
RGB_247,0.5500,0.9169,0.9059,0.9113
RGB_248,0.5600,0.9303,0.8754,0.9020
RGB_254,0.5000,0.8830,0.9141,0.8983
