name,oisT1,oisR1,oisP1,oisF1
RGB_008,0.6900,0.9261,0.9159,0.9209
RGB_010,0.7100,0.9194,0.9087,0.9140
RGB_017,0.7500,0.8439,0.8318,0.8378
RGB_025,0.8000,0.9363,0.9098,0.9228
RGB_029,0.7700,0.8840,0.8560,0.8698
RGB_033,0.7900,0.8756,0.9023,0.8888
RGB_035,0.6500,0.9496,0.8300,0.8858
RGB_039,0.7100,0.8948,0.8916,0.8932
RGB_042,0.7441,0.8990,0.9144,0.9066
RGB_052,0.6800,0.9342,0.8987,0.9161
RGB_056,0.6600,0.9273,0.8878,0.9071
RGB_057,0.6900,0.8602,0.9256,0.8917
RGB_059,0.6600,0.9615,0.9047,0.9322
RGB_066,0.7100,0.9025,0.8761,0.8891
RGB_067,0.6800,0.9273,0.9406,0.9339
RGB_070,0.7700,0.9108,0.8940,0.9023
RGB_071,0.7500,0.9349,0.8970,0.9155
RGB_075,0.6500,0.9180,0.9036,0.9107
RGB_081,0.7400,0.9456,0.9521,0.9489
RGB_083,0.6100,0.9584,0.9238,0.9408
RGB_090,0.8100,0.9688,0.8656,0.9143
RGB_092,0.7400,0.9326,0.9164,0.9244
RGB_094,0.6400,0.9127,0.9414,0.9268
RGB_098,0.7100,0.9347,0.8612,0.8964
RGB_102,0.7100,0.9162,0.9247,0.9204
RGB_107,0.7200,0.9159,0.8820,0.8986
RGB_111,0.6200,0.8886,0.8971,0.8928
RGB_120,0.7800,0.9263,0.9055,0.9158
RGB_124,0.6900,0.9291,0.9143,0.9217
RGB_132,0.7300,0.9212,0.8909,0.9058
RGB_138,0.7900,0.9179,0.8519,0.8837
RGB_139,0.5500,0.6866,0.9349,0.7917
RGB_141,0.7100,0.8638,0.8665,0.8652
RGB_145,0.6100,0.9137,0.9041,0.9089
RGB_160,0.7100,0.9050,0.9031,0.9041
RGB_170,0.5900,0.9239,0.8977,0.9106
RGB_181,0.6700,0.9064,0.8790,0.8925
RGB_182,0.5500,0.8487,0.9055,0.8761
RGB_190,0.7600,0.8865,0.9030,0.8947
RGB_192,0.6800,0.9459,0.8959,0.9202
RGB_206,0.7200,0.9031,0.9376,0.9200
RGB_212,0.1600,0.8447,0.8801,0.8620
RGB_214,0.5500,0.8483,0.8545,0.8514
RGB_226,0.7300,0.8901,0.9075,0.8987
RGB_228,0.8400,0.8368,0.9162,0.8747
RGB_234,0.7800,0.9092,0.8748,0.8917
RGB_237,0.5000,0.9219,0.9441,0.9329
RGB_247,0.3200,0.9212,0.9047,0.9129
RGB_248,0.4400,0.9474,0.8899,0.9177
RGB_254,0.2500,0.8923,0.9154,0.9037
