name,oisT1,oisR1,oisP1,oisF1
4100_left_2268,0.5600,0.9011,0.8871,0.8941
4101_left_0382,0.6000,0.8156,0.8915,0.8518
4108_left_0082,0.6700,0.8965,0.8894,0.8929
4113_left_0082,0.5600,0.8689,0.9180,0.8928
4114_left_0611,0.6900,0.9136,0.8569,0.8843
4176_left_0273,0.4900,0.9347,0.9220,0.9283
4178_left_0052,0.7400,0.8835,0.9008,0.8921
4179_left_0315,0.6500,0.8683,0.8231,0.8451
4187_left_0071,0.6700,0.9249,0.8977,0.9111
4209_left_0034,0.6400,0.8645,0.9167,0.8898
4377_left_0016,0.5300,0.8617,0.8865,0.8739
4386_left_0020,0.5600,0.8783,0.9158,0.8966
4406_left_0030,0.4600,0.8562,0.9640,0.9069
4523_left_0070,0.5600,0.9213,0.9283,0.9248
4558_left_0260,0.5400,0.8671,0.9293,0.8971
4580_left_0165,0.5900,0.9185,0.9356,0.9270
4603_left_0050,0.6300,0.8855,0.9044,0.8948
4663_left_0010,0.5634,0.9083,0.9533,0.9303
4684_left_0010,0.5400,0.9142,0.9490,0.9313
4685_left_0045,0.5300,0.9212,0.9583,0.9394
