name,oisT1,oisR1,oisP1,oisF1
4100_left_2268,0.5100,0.8788,0.8909,0.8848
4101_left_0382,0.5100,0.8380,0.8488,0.8434
4108_left_0082,0.6300,0.8930,0.8971,0.8951
4113_left_0082,0.4998,0.8750,0.9204,0.8971
4114_left_0611,0.6800,0.9045,0.8633,0.8834
4176_left_0273,0.4500,0.9320,0.9211,0.9265
4178_left_0052,0.6700,0.9120,0.8915,0.9016
4179_left_0315,0.6200,0.8742,0.8312,0.8521
4187_left_0071,0.6200,0.9193,0.9002,0.9097
4209_left_0034,0.6200,0.8643,0.9183,0.8905
4377_left_0016,0.4900,0.8435,0.8714,0.8572
4386_left_0020,0.5000,0.8770,0.8920,0.8844
4406_left_0030,0.3700,0.8371,0.9420,0.8865
4523_left_0070,0.4600,0.9148,0.9129,0.9138
4558_left_0260,0.5000,0.8457,0.9248,0.8835
4580_left_0165,0.5100,0.9107,0.9128,0.9117
4603_left_0050,0.6000,0.8715,0.8961,0.8837
4663_left_0010,0.5000,0.9024,0.9462,0.9238
4684_left_0010,0.4400,0.9022,0.9552,0.9279
4685_left_0045,0.4200,0.9161,0.9571,0.9361
